Name,['Non-Penalty Goals',  'Non-Penalty xG',  'Shots Total',  'Assists',  'xAG',  'npxG + xAG',  'Shot-Creating Actions',  'Passes Attempted',  'Pass Completion %',  'Progressive Passes', 'Progressive Carries',  'Successful Take-Ons',  'Touches (Att Pen)',  'Progressive Passes Rec',  'Tackles', 'Interceptions',  'Blocks',  'Clearances',  'Aerials won'
Jordi Alba,[0.11,0.04,0.77,0.22,0.39,0.43,3.92,93.42,83.6,9.16,2.65,0.33,2.76,10.43,1.43,0.72,0.99,1.49, 0.44]
Trent Alexander-Arnold,[0.08,0.07,1.24,0.23,0.32,0.39,3.86,87.26,75.4,7.28,1.37,0.89,1.5,4.36,1.93,1.19,0.81,1.12, 0.56]
Serge Aurier,[0.05,0.04,0.42,0,0.05,0.08,1.2,43.68,70.7,3.29,1.71,0.74,0.6,2.32,2.96,1.34,1.57,3.47, 2.13]
Alejandro Balde,[0.03,0.06,0.65,0.2,0.16,0.23,2.35,60.97,88.1,2.97,3.79,1.93,2.91,8.46,1.44,0.42,1.01,0.59, 0.62]
João Cancelo,[0.1,0.06,1.2,0.32,0.15,0.21,2.88,84.25,84.1,6.72,4.59,2.29,2.97,8.6,2.13,1.2,0.87,1.1, 1.49]
Yannick Carrasco,[0.24,0.28,2.71,0.14,0.16,0.44,3.86,44.15,78.7,3.33,5.8,2.36,6.04,10.77,1.46,0.45,1.01,0.69, 0.17]
Dani Carvajal,[0.0,0.03,0.47,0.14,0.13,0.16,2.1,66.39,85.3,3.15,1.15,0.31,1.63,6.17,1.7,0.75,1.32,2.34, 0.54]
Matty Cash,[0.0,0.01,0.35,0.05,0.03,0.04,1.38,49.75,77.2,3.71,2.08,0.79,0.54,2.82,2.72,1.29,0.99,2.13, 0.59]
Ben Chilwell,[0.09,0.08,1.01,0.09,0.17,0.25,2.84,62.09,78.1,2.89,2.66,0.64,2.29,7.79,1.51,1.01,1.33,1.42, 1.28]
Yan Couto,[0.08,0.04,0.62,0.16,0.19,0.23,3.5,46.48,74.2,4.27,4.35,2.18,1.55,6.92,1.94,0.39,0.54,0.78, 0.08]
Aaron Cresswell,[0.0,0.01,0.36,0.04,0.15,0.16,2.94,58.31,77.8,5.84,1.41,0.08,0.52,3.3,0.85,1.09,0.85,2.26, 1.13]
Juan Cuadrado,[0.03,0.06,1.28,0.12,0.16,0.22,3.16,57.47,84,3.77,2.23,1.25,2.06,5.43,2.21,1.13,0.73,1.34, 0.46]
Marc Cucurella,[0.0,0.03,0.35,0.09,0.04,0.07,1.55,71.61,84.2,4.4,1.55,0.26,0.73,3.71,3.37,1.04,1.6,2.37, 0.99]
Diogo Dalot,[0.06,0.09,0.78,0.06,0.1,0.18,2.4,61.35,80.8,4.44,2.11,0.84,1.72,3.7,2.34,1.49,1.1,1.95, 1.49]
Alphonso Davies,[0.03,0.07,0.82,0.2,0.15,0.23,3.71,67.02,87.4,5.14,5.07,3.17,3.68,7.25,2.28,1.09,1.46,1.23, 0.2]
Mattia De Sciglio,[0.0,0.01,0.42,0,0.04,0.06,1.55,51.51,79.6,4.08,1.55,0.28,0.56,5,1.27,0.42,0.77,1.69, 0.7]
Giovanni Di Lorenzo,[0.11,0.08,0.96,0.13,0.16,0.24,3.04,71.17,84.4,6.8,2.32,0.43,2.82,4.84,1.69,0.91,0.85,1.78, 1.19]
Federico Dimarco,[0.13,0.14,2,0.26,0.32,0.46,4.25,53.29,72.3,3.93,2.22,0.29,2.8,7.98,1.29,0.9,0.8,1.25, 0.23]
Emerson,[0.08,0.09,0.99,0.04,0.04,0.13,1.7,54.6,79.3,4.11,2.45,0.67,2.49,5.41,2.84,0.83,0.83,3.48, 1.46]
Juan Foyth,[0.05,0.05,0.64,0,0.07,0.12,1.33,58.65,87.5,4.6,2.16,1.24,0.97,0.83,3.36,0.92,1.47,3.13, 1.65]
Raphaël Guerreiro,[0.2,0.11,1.27,0.39,0.28,0.4,4.03,68.97,82.4,6.92,3.19,0.98,2.54,6.34,1.4,1.5,0.85,1.07, 0.26]
Malo Gusto,[0.0,0.02,0.4,0.06,0.17,0.2,2.82,81.08,81.5,4.63,3.72,1.13,1.47,8.29,2.37,1.58,1.24,1.3, 0.45]
Theo Hernández,[0.07,0.09,1.48,0.1,0.12,0.21,2.79,55.29,80.4,4.21,3.37,0.63,1.99,4.46,1.7,0.65,0.99,1.36, 1.14]
Reece James,[0.09,0.07,1.12,0.09,0.19,0.26,3.58,73.44,84,6.23,3.49,1.77,2.09,8.19,2.09,0.88,1.4,1.58, 1.21]
Arnau Martinez,[0.1,0.06,0.66,0.13,0.14,0.21,2.47,52.68,81.5,3.72,2.11,0.79,1.75,3.23,2.27,0.82,1.45,1.78, 1.05]
Maximilian Mittelstädt,[0.0,0.03,0.64,0,0.08,0.12,2.44,50.04,69.1,3.92,3.07,2.01,0.85,3.07,4.13,2.76,1.38,2.86, 1.06]
Nordi Mukiele,[0.0,0.07,0.79,0.22,0.15,0.22,1.44,52.07,86,1.95,1.51,0.43,2.52,5.19,2.31,1.08,1.8,1.3, 1.66]
Nacho,[0.04,0.03,0.43,0.04,0.04,0.08,1.78,64.91,91.5,3.86,1.04,0.52,0.91,1.69,1.43,1.52,0.69,2.3, 1.86]
Luca Pellegrini,[0.0,0.07,1.92,0,0.12,0.18,3.26,68.8,70.7,3.93,2.88,1.63,1.06,5.09,2.01,1.63,1.44,1.92, 1.06]
Pedro Porro,[0.17,0.12,1.85,0.23,0.21,0.33,3.23,52.7,71.1,3,2.65,1.21,1.56,6.86,2.31,1.1,1.96,2.08, 0.12]
David Raum,[0.0,0.02,0.57,0.08,0.22,0.25,2.76,62.5,77.1,3.33,2.4,0.49,1.83,6.86,2.11,0.93,1.26,1.67, 1.02]
Sergi Roberto,[0.22,0.14,1.21,0.17,0.1,0.24,2.2,65.53,90.3,7,2.92,0.28,2.65,5.24,1.54,0.83,0.94,0.94, 0.5]
Andrew Robertson,[0.0,0.04,0.46,0.3,0.2,0.25,3.28,77.72,79.5,5.56,2.71,0.61,2.04,6.78,1.22,0.61,1.03,1.67, 0.79]
Julian Ryerson,[0.03,0.04,0.96,0.03,0.07,0.11,2.03,51.84,76.5,2.99,2.65,1.26,0.86,3.7,2.1,0.68,1.14,1.82, 0.71]
Ryan Sessegnon,[0.19,0.17,1.77,0,0.12,0.3,2.51,40.72,71.5,2.32,2.32,0.56,2.79,6.79,2.32,0.74,0.84,2.32, 0.93]
Luke Shaw,[0.03,0.03,0.41,0.12,0.14,0.17,2.41,72.69,82.9,5.06,2.09,0.56,0.94,3.03,1.91,1.24,1.65,1.88, 1.56]
Mohamed Simakan,[0.09,0.09,0.64,0.18,0.14,0.23,1.79,66.64,80.3,5.13,2.11,0.82,2.24,4.72,1.69,1.28,1.05,2.84, 2.24]
Borna Sosa,[0.09,0.05,0.69,0.32,0.3,0.35,5.02,67.12,73.8,5.89,2.67,0.78,0.92,7,1.24,0.87,0.92,1.7, 0.69]
Nuno Tavares,[0.19,0.15,2.4,0,0.09,0.24,2.43,52.87,77.5,4.42,3.74,2.15,3.21,9.72,2.09,0.59,1.28,1, 0.81]
Alex Telles,[0.0,0.03,0.88,0.13,0.09,0.12,2.31,47.94,75.6,2.6,1.6,0.76,0.76,5.08,1.51,1.22,1.18,2.35, 1.68]
Kieran Tierney,[0.07,0.08,1.2,0.14,0.05,0.13,1.69,60.42,77.6,5.15,2.89,0.28,1.76,4.24,1.84,0.92,0.78,2.12, 0.64]
Takehiro Tomiyasu,[0.0,0.08,0.51,0.17,0.08,0.16,1.69,68.07,83,7.79,2.03,0.51,2.2,3.47,3.22,1.52,0.76,1.86, 2.29]
Oleksandr Zinchenko,[0.04,0.06,1.16,0.08,0.09,0.15,2.36,81.12,86.3,9.34,2.67,0.7,1.36,2.87,1.71,0.97,0.85,1.55, 2.09]
