,Name,['Non-Penalty Goals',  'Non-Penalty xG',  'Shots Total',  'Assists',  'xAG',  'npxG + xAG',  'Shot-Creating Actions',  'Passes Attempted',  'Pass Completion %',  'Progressive Passes', 'Progressive Carries',  'Successful Take-Ons',  'Touches (Att Pen)',  'Progressive Passes Rec',  'Tackles', 'Interceptions',  'Blocks',  'Clearances',  'Aerials won'
4,Tyler Adams,[0.0,0,0.17,0,0.06,0.06,1.8,56.06,82.5,5.68,0.79,0.29,0.21,0.83,3.72,1.46,2,1.21, 1.04]
13,Luis Alberto,[0.2,0.11,1.6,0.26,0.26,0.37,4.35,74.97,82.5,9.49,2.78,0.72,1.54,3.67,1.74,0.33,1.18,0.13, 0.33]
67,Rodrigo Bentancur,[0.27,0.12,0.9,0.09,0.05,0.17,2.25,55.94,84.7,5.71,1.66,1.21,1.08,1.17,2.56,1.12,1.48,1.17, 0.94]
88,Hakan Çalhanoğlu,[0.09,0.08,1.93,0.23,0.18,0.26,4.58,60.47,83.3,5.97,1.59,0.34,0.88,2.7,1.82,0.94,0.99,0.57, 0.6]
96,Maxence Caqueret,[0.13,0.08,0.85,0.23,0.17,0.25,3.84,58.06,82.9,5.95,1.5,1.33,2.37,3.71,2.83,1.27,1.46,0.88, 0.52]
99,Casemiro,[0.12,0.14,1.64,0.12,0.13,0.27,3,62.73,77.9,6.69,0.78,0.35,1.36,1.53,3.49,1.47,2.48,2.51, 2.6]
104,Dani Ceballos,[0.0,0.06,1.09,0.22,0.13,0.19,4.64,86.78,90.6,11.51,3.38,2.45,2.02,3.44,2.56,1.36,1.58,0.33, 0.22]
122,Mikkel Damsgaard,[0.0,0.24,1.09,0,0.13,0.36,2.28,37.07,67.6,4.01,0.82,0.82,2.46,4.1,2.82,0.91,1.82,1.28, 0.91]
127,Kevin De Bruyne,[0.26,0.2,2.33,0.63,0.5,0.69,6.26,59.09,72.2,8.47,3.73,1.21,3.3,8.7,1.06,0.32,0.89,0.43, 0.4]
128,Rodrigo De Paul,[0.12,0.07,1.07,0.29,0.25,0.33,4.21,68.77,81,8.96,2.64,0.78,0.78,3.26,1.61,0.45,1.12,0.37, 0.25]
136,Kiernan Dewsbury-Hall,[0.08,0.09,1.01,0.08,0.13,0.22,3.04,45.04,75.6,5.15,2.65,1.56,1.95,3.55,2.07,1.09,2.15,0.82, 0.59]
157,Wataru Endo,[0.15,0.12,1.39,0.12,0.14,0.26,2.59,45.49,79.2,5.27,0.99,0.86,1.69,2.06,2.16,0.8,1.36,1.94, 2.28]
171,Enzo Fernández,[0.0,0.06,1.52,0.12,0.11,0.18,3.01,79.77,87.7,9.25,1.21,0.86,0.7,1.01,2.81,1.01,1.8,0.66, 0.47]
185,Conor Gallagher,[0.14,0.18,1.73,0.05,0.14,0.32,2.76,48.47,81.8,5.76,2.15,1.22,3.32,6.09,2.58,1.31,1.92,1.03, 1.03]
194,Bruno Guimarães,[0.13,0.09,0.92,0.17,0.13,0.22,3.63,55.07,83.2,7.33,1.35,1.49,1.65,1.39,2.58,1.19,0.92,0.73, 0.63]
200,Pierre Højbjerg,[0.12,0.06,0.93,0.17,0.09,0.14,2.73,65.7,88.2,6.59,1.27,0.89,1.03,1.92,1.63,1.44,1.27,1.68, 0.77]
206,Frenkie de Jong,[0.06,0.07,0.55,0.12,0.14,0.22,3.54,78.96,89.5,9.39,3.39,1.34,1.62,2.71,1.65,1.16,0.58,0.79, 1.22]
210,Daichi Kamada,[0.24,0.29,1.61,0.18,0.12,0.41,3.04,47.45,80.4,5.9,1.95,0.64,2.67,4.29,2.07,0.76,1.22,0.73, 0.73]
214,N'Golo Kanté,[0.0,0.13,1.32,0.13,0.28,0.4,3.96,55.03,80.3,5.94,3.7,1.72,2.38,6.07,2.51,1.06,1.72,0.26, 0.26]
219,Joshua Kimmich,[0.1,0.06,1.19,0.22,0.24,0.29,4.35,86.47,84.9,9.87,1.24,0.4,0.6,1.52,2.41,1.52,1.34,1.14, 0.47]
232,Toni Kroos,[0.06,0.05,1.23,0.18,0.16,0.21,4.08,101.83,91,12.22,1.77,0.33,0.6,1.38,2.31,0.99,0.9,0.39, 0.27]
245,Douglas Luiz,[0.18,0.09,1.05,0.18,0.14,0.22,2.95,55.72,82.5,4.55,1.48,0.74,0.58,1.08,2.24,1.23,1.11,0.83, 0.77]
286,Sergej Milinković-Savić,[0.3,0.21,2.04,0.21,0.2,0.42,2.36,58.18,75.1,5.15,1.45,1.18,2.68,3.97,1.72,0.8,1.48,1.31, 2.87]
315,Matheus Nunes,[0.04,0.09,1.02,0.04,0.08,0.17,2.15,37.5,79.6,3.06,2.15,1.61,1.9,4.71,2.44,0.58,1.28,1.28, 0.8]
332,João Palhinha,[0.09,0.08,1.13,0,0.01,0.1,0.87,36.89,82.5,2.92,0.23,0.41,0.96,0.52,4.26,1.33,1.39,1.77, 2.06]
339,Pedri,[0.22,0.22,1.08,0.04,0.22,0.44,4.02,65.42,86.4,8.15,3.09,1.64,2.64,4.99,1.71,0.67,1.27,0.34, 0.15]
363,Marco Reus,[0.33,0.29,2.34,0.28,0.19,0.48,3.23,37.17,79.5,3.01,2.17,0.67,4.18,5.13,1.89,0.61,0.89,0.5, 0.72]
367,Declan Rice,[0.11,0.04,0.96,0.03,0.09,0.13,2.75,58.71,86.5,6.6,2.42,0.96,0.66,1.02,2.17,1.73,1.24,1.59, 1.02]
373,Rodri,[0.09,0.13,1.54,0.14,0.11,0.23,2.56,91.71,91.3,8,2.26,0.78,1.75,0.99,2.1,1.06,1.18,1.2, 2.0]
414,Bernardo Silva,[0.2,0.1,0.95,0.17,0.13,0.23,3.26,62.65,86.2,5.37,3.84,1.56,3.93,8.09,1.82,0.72,0.98,0.32, 0.2]
450,Youri Tielemans,[0.08,0.03,1.11,0.08,0.18,0.22,2.99,62.32,80.3,6.95,1.34,1,0.54,2.15,2.53,1.08,1.34,0.92, 1.0]
452,Sandro Tonali,[0.05,0.07,0.98,0.22,0.21,0.28,3.11,49.71,75,4.76,1.89,0.36,1.15,2.77,1.98,0.69,1.08,0.86, 0.43]
480,James Ward-Prowse,[0.19,0.07,1.07,0.11,0.17,0.23,3.39,58.1,78.9,5.05,0.51,0.19,0.75,1.55,1.74,1.47,0.8,1.28, 1.17]
481,Julian Weigl,[0.0,0.01,0.33,0,0.03,0.04,1.05,57.16,89.1,3.9,0.33,0.43,0.57,0.33,2.04,0.86,1.09,1.52, 0.86]
497,Martin Ødegaard,[0.4,0.27,2.56,0.19,0.26,0.53,4.81,52.02,80.4,7.74,2.46,1.31,3.55,5.53,1.1,0.21,0.56,0.32, 0.35]
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
